codigo;codigo_barras;referencia_interna_produto;nome_produto;codigo_fornecedor;sigla_unidade_medida;Estoque;precoFornecedor;preço_de_custo;preco_minimo_venda;preco_venda;NCM;Codigo_situacao_tributaria_ICMS;CSOSN;AliquotaICMS;ReducaoICMS;MVA
1;2;123;Gf;None;UN;-1.000.000;0.01;5.00;0.01;30.75;6109.10.00;0.0;102;20.00;0.0;1.0
2;3;133;To;None;UN;0.000000;0.01;0.01;0.01;35.88;6109.10.00;0.0;102;20.00;0.0;1.0
3;4;330;Camisa Preta;None;UN;0.000000;0.01;0.01;0.01;23.58;6109.10.00;0.0;102;20.00;0.0;1.0
4;4;330;Camisa Preta;None;UN;-1.000.000;0.01;0.01;0.01;23.58;6109.10.00;0.0;102;20.00;0.0;1.0
5;5;332;camisa preta gola r;None;UN;0.000000;0.01;0.01;0.01;35.88;6109.10.00;0.0;102;20.00;0.0;1.0
6;6;335;Ra;None;UN;0.000000;0.01;0.01;0.01;36.90;6109.10.00;0.0;102;20.00;0.0;1.0
7;7;F30253;Polo Branca;None;UN;-1.000.000;0.01;0.01;0.01;63.55;6109.10.00;0.0;102;20.00;0.0;1.0
8;8;F30293/G;Camisa Verde;None;UN;0.000000;0.01;28.00;0.01;53.30;6109.10.00;0.0;102;20.00;0.0;1.0
9;9;BGM32612;Camisa Preta BGO;None;UN;0.000000;0.01;28.00;0.01;53.30;6109.10.00;0.0;102;20.00;0.0;1.0
10;10;F30314;Camisa Vermelha FD;None;UN;-5.000.000;0.01;26.00;0.01;49.20;6109.10.00;0.0;102;20.00;0.0;1.0
11;11;BGM32539;Camisa Verm. Lisa BGO;None;UN;0.000000;0.01;30.00;0.01;56.37;6109.10.00;0.0;102;20.00;0.0;1.0
12;12;F60032;F60032 - Camisa ML Fido Dido;None;UN;0.000000;0.01;63.55;0.01;94.30;6109.10.00;0.0;102;20.00;0.0;1.0
13;13;BGM33387;Camisa Gola Polo BGO;None;UN;0.000000;0.01;38.00;0.01;66.63;6109.10.00;0.0;102;20.00;0.0;1.0
14;14;F30289/M;Camisa Decote Red. FD;None;UN;0.000000;0.01;28.00;0.01;53.30;6109.10.00;0.0;102;20.00;0.0;1.0
15;15;BGM7302;BGM7302 - Camisa Branca BGO M;None;UN;0.000000;0.01;30.00;0.01;53.30;6109.10.00;0.0;102;20.00;0.0;1.0
16;16;BGM32633;BGM32633 - Camisa Br. c/  Pr. BGO;None;UN;0.000000;0.01;30.00;0.01;53.30;6109.10.00;0.0;102;20.00;0.0;1.0
17;17;F30261/M;Camisa Basica Gola V FD;None;UN;0.000000;0.01;28.00;0.01;46.12;6109.10.00;0.0;102;20.00;0.0;1.0
18;18;BGM32613/M;Camisa Basica Gola V BGO;None;UN;0.000000;0.01;28.00;0.01;53.30;6109.10.00;0.0;102;20.00;0.0;1.0
19;19;F30286;Camisa Dec. Red. Azul FD;None;UN;0.000000;0.01;22.00;0.01;49.20;6109.10.00;0.0;102;20.00;0.0;1.0
20;20;F20036;F20036 - Regata Fido Dido;None;UN;0.000000;0.01;22.55;0.01;38.95;6109.10.00;0.0;102;20.00;0.0;1.0
21;21;F30276/M;Camisa Estampada FD;None;UN;0.000000;0.01;28.00;0.01;53.30;6109.10.00;0.0;102;20.00;0.0;1.0
22;22;F70258/M;Bermuda Tactel;None;UN;0.000000;0.01;35.00;0.01;70.73;6109.10.00;0.0;102;20.00;0.0;1.0
23;23;F70284/354;Calca FD;None;UN;0.000000;0.01;89.00;0.01;172.20;6109.10.00;0.0;102;20.00;0.0;1.0
24;24;Bermuda FD/ 40;Bermuda FD;None;UN;0.000000;0.01;76.87;0.01;132.23;6109.10.00;0.0;102;20.00;0.0;1.0
25;25;BD6535;BD6535 - Calca Slim Blue Denim 40;None;UN;0.000000;0.01;46.02;0.01;106.60;6109.10.00;0.0;102;20.00;0.0;1.0
26;26;F70283;F70283 - Calca Fido Dido 40;None;UN;0.000000;0.01;112.75;0.01;157.85;6109.10.00;0.0;102;20.00;0.0;1.0
27;26;F70283;F70283 - Calca Fido Dido 40;None;UN;-1.000.000;0.01;112.75;0.01;157.85;6109.10.00;0.0;102;20.00;0.0;1.0
28;27;EP6864;EP6864 - Calca Emporio Regular;None;UN;0.000000;0.01;91.22;0.01;161.95;6109.10.00;0.0;102;20.00;0.0;1.0
29;28;C20225;C20225 - Boddy Listrado Cativa;None;UN;0.000000;0.01;32.50;0.01;66.63;6109.10.00;0.0;102;20.00;0.0;1.0
30;29;G30232;Blusa Ombro a Ombro;None;UN;0.000000;0.01;45.00;0.01;76.88;6109.10.00;0.0;102;20.00;0.0;1.0
31;30;C30633;C30633 - Blusa Cativa M/G;None;UN;0.000000;0.01;38.00;0.01;63.55;6109.10.00;0.0;102;20.00;0.0;1.0
32;31;C30626;Blusa Det.ombro Azul;None;UN;0.000000;0.01;29.00;0.01;59.45;6109.10.00;0.0;102;20.00;0.0;1.0
33;32;C20226;C20226 - Blusa Alca Cativa;None;UN;0.000000;0.01;28.00;0.01;49.20;6109.10.00;0.0;102;20.00;0.0;1.0
34;33;G33525;G33525 - Blusa  Gris;None;UN;0.000000;0.01;38.00;0.01;67.65;6109.10.00;0.0;102;20.00;0.0;1.0
35;34;C20239;C20239 - Body Laranja Cativa;None;UN;0.000000;0.01;48.00;0.01;76.88;6109.10.00;0.0;102;20.00;0.0;1.0
36;35;C20245/P;Blusa sem Mangas Jeans;None;UN;0.000000;0.01;45.00;0.01;80.98;6109.10.00;0.0;102;20.00;0.0;1.0
37;36;LC10406;LC10406 - Body Lima Christi;None;UN;0.000000;0.01;10.00;0.01;23.06;6109.10.00;0.0;102;20.00;0.0;1.0
38;37;C20220/P;Blusa sem Manga Malha;None;UN;0.000000;0.01;26.00;0.01;45.10;6109.10.00;0.0;102;20.00;0.0;1.0
39;38;C20230;C20230 - Blusa Sem Mangas Cativa;None;UN;0.000000;0.01;26.00;0.01;45.10;6109.10.00;0.0;102;20.00;0.0;1.0
40;39;C30452;C30452 - Blusa Basica Lisa Cativa P;None;UN;0.000000;0.01;15.00;0.01;25.62;6109.10.00;0.0;102;20.00;0.0;1.0
41;40;C20186/P;Blusa Alca Fina;None;UN;0.000000;0.01;12.00;0.01;20.50;6109.10.00;0.0;102;20.00;0.0;1.0
42;41;C20244;Blusa Com Alca Jeans;None;UN;0.000000;0.01;38.00;0.01;54.22;6109.10.00;0.0;102;20.00;0.0;1.0
43;42;Vestido Six/P;Vestido Six Jeans;None;UN;0.000000;0.01;64.00;0.01;112.75;6109.10.00;0.0;102;20.00;0.0;1.0
44;43;Saia Cativa/M;Saia Listrada Azul;None;UN;0.000000;0.01;39.00;0.01;73.80;6109.10.00;0.0;102;20.00;0.0;1.0
45;44;G15247;G15247 - Saia Vinho Gris;None;UN;0.000000;0.01;35.00;0.01;49.51;6109.10.00;0.0;102;20.00;0.0;1.0
46;45;G80094/P;Vestido curto;None;UN;0.000000;0.01;110.00;0.01;164.92;6109.10.00;0.0;102;20.00;0.0;1.0
47;46;C21546;C21546 - Vestido Ombro a Ombro Cativa;None;UN;0.000000;0.01;45.00;0.01;64.50;6109.10.00;0.0;102;20.00;0.0;1.0
48;47;G70146/P;Vestido Curto Trico;None;UN;0.000000;0.01;110.00;0.01;166.05;6109.10.00;0.0;102;20.00;0.0;1.0
49;48;Vestido Gris;Vestido Curto Alca Fina Gris;None;UN;0.000000;0.01;49.00;0.01;91.23;6109.10.00;0.0;102;20.00;0.0;1.0
50;49;G80105;G80105 - Vestido Longo Gris;None;UN;0.000000;0.01;105.00;0.01;158.88;6109.10.00;0.0;102;20.00;0.0;1.0
51;50;EM6866;Calca Flare Jeans Emporio;None;UN;0.000000;0.01;0.01;0.01;162.98;6109.10.00;0.0;102;20.00;0.0;1.0
52;51;BD5710;Calca Cigarrete Blue Denim;None;UN;0.000000;0.01;46.90;0.01;106.60;6109.10.00;0.0;102;20.00;0.0;1.0
53;52;EP5031;EP5031 - Calca Skinny Emporio 40;None;UN;0.000000;0.01;81.48;0.01;81.49;6109.10.00;0.0;102;20.00;0.0;1.0
54;53;BD5563;BD5563 - Cigarrete Blue Denim;None;UN;0.000000;0.01;0.01;0.01;106.60;6109.10.00;0.0;102;20.00;0.0;1.0
55;54;BD5711/38;Calca Cigarrete Blue Denim;None;UN;0.000000;0.01;46.90;0.01;106.60;6109.10.00;0.0;102;20.00;0.0;1.0
56;55;S284012;S284012 - Calca Sideral Jeans 40;None;UN;0.000000;0.01;60.00;0.01;64.06;6109.10.00;0.0;102;20.00;0.0;1.0
57;56;F70249/38;Calca Juvenil Jeans Clara FD;None;UN;0.000000;0.01;75.00;0.01;132.23;6109.10.00;0.0;102;20.00;0.0;1.0
58;57;FD Calca/36;Calca Jeans Escura Juvenil FD;None;UN;0.000000;0.01;75.00;0.01;132.23;6109.10.00;0.0;102;20.00;0.0;1.0
59;58;FD5985;FD5985 - Calca Juvenil Fido Dido;None;UN;0.000000;0.01;76.87;0.01;132.23;6109.10.00;0.0;102;20.00;0.0;1.0
60;59;BD6982;BD6982 - Calca Cos Medio Blue Denim 38;None;UN;0.000000;0.01;46.02;0.01;121.98;6109.10.00;0.0;102;20.00;0.0;1.0
61;60;CC4818/38;Calca Skinny Slim Cacau;None;UN;0.000000;0.01;99.90;0.01;193.73;6109.10.00;0.0;102;20.00;0.0;1.0
62;61;BD6716/38;Calca Skinny Blue Denim;None;UN;0.000000;0.01;44.90;0.01;121.98;6109.10.00;0.0;102;20.00;0.0;1.0
63;62;BD6661/38;Calca Flare Blue Denim;None;UN;0.000000;0.01;44.90;0.01;121.98;6109.10.00;0.0;102;20.00;0.0;1.0
64;63;CC1992/42;Calca Skinny Hot Pants Caccau;None;UN;0.000000;0.01;99.90;0.01;193.73;6109.10.00;0.0;102;20.00;0.0;1.0
65;64;BD6668;Calca Skinny Blue Denim;None;UN;0.000000;0.01;44.90;0.01;121.98;6109.10.00;0.0;102;20.00;0.0;1.0
66;65;EP6866/38;Calca Flare Cos Medio Emporio;None;UN;0.000000;0.01;79.90;0.01;162.98;6109.10.00;0.0;102;20.00;0.0;1.0
67;66;C20166;C20166 - Blusa com Alca 12;None;UN;0.000000;0.01;19.00;0.01;36.90;6109.10.00;0.0;102;20.00;0.0;1.0
68;67;C20201/10;Blusa sem Mangas;None;UN;0.000000;0.01;20.00;0.01;36.90;6109.10.00;0.0;102;20.00;0.0;1.0
69;68;C20205;C20205 - Blusa inf. Cativa;None;UN;0.000000;0.01;29.00;0.01;54.32;6109.10.00;0.0;102;20.00;0.0;1.0
70;69;C20167/ 18;Blusa Sem Mangas;None;UN;0.000000;0.01;26.00;0.01;45.10;6109.10.00;0.0;102;20.00;0.0;1.0
71;70;EL25990;EL25990 - Vestido Elian;None;UN;0.000000;0.01;26.65;0.01;45.10;6109.10.00;0.0;102;20.00;0.0;1.0
72;71;EL25998/14;Vestido Elian;None;UN;0.000000;0.01;26.00;0.01;45.10;6109.10.00;0.0;102;20.00;0.0;1.0
73;72;C80137;C80137 - Vestido Cativa 14/16;None;UN;0.000000;0.01;39.00;0.01;75.85;6109.10.00;0.0;102;20.00;0.0;1.0
74;73;EL23952/6;Vestido Elian;None;UN;0.000000;0.01;26.00;0.01;45.10;6109.10.00;0.0;102;20.00;0.0;1.0
75;74;C90168/10;Conjunto Blusa e Short Jeans;None;UN;0.000000;0.01;59.00;0.01;94.30;6109.10.00;0.0;102;20.00;0.0;1.0
76;75;EL23953;EL23953 - Vestido Elian;None;UN;0.000000;0.01;26.65;0.01;45.10;6109.10.00;0.0;102;20.00;0.0;1.0
77;76;C40176/8;Macaquinho Jeans Cativa;None;UN;0.000000;0.01;39.00;0.01;69.70;6109.10.00;0.0;102;20.00;0.0;1.0
78;77;C90171/8;Conjunto Blusa e Short Jeans Cativa;None;UN;0.000000;0.01;59.00;0.01;97.27;6109.10.00;0.0;102;20.00;0.0;1.0
79;78;Kk20691;Conjunto Blusa e Short Kely E Kety;None;UN;0.000000;0.01;19.00;0.01;35.88;6109.10.00;0.0;102;20.00;0.0;1.0
80;79;KK40407;Vestido Kely Kety;None;UN;0.000000;0.01;19.00;0.01;35.88;6109.10.00;0.0;102;20.00;0.0;1.0
81;80;CL17895;Blusa ColoritA;None;UN;0.000000;0.01;14.50;0.01;26.55;6109.10.00;0.0;102;20.00;0.0;1.0
82;81;TV21130;Blusa Manga Longa;None;UN;0.000000;0.01;38.00;0.01;56.37;6109.10.00;0.0;102;20.00;0.0;1.0
83;82;400508;Vestido Bitoquinha bb;None;UN;0.000000;0.01;18.00;0.01;30.65;6109.10.00;0.0;102;20.00;0.0;1.0
84;83;M112;Conjunto Malha;None;UN;0.000000;0.01;18.00;0.01;29.72;6109.10.00;0.0;102;20.00;0.0;1.0
85;84;M110;Conjunto Malha;None;UN;0.000000;0.01;18.00;0.01;29.72;6109.10.00;0.0;102;20.00;0.0;1.0
