CODIGO;CODIGO_BARRAS;NOME_PRODUTO;UN_MEDIDA;Estoque;PRECO_FORNECEDOR;PRECO_CUSTO;PRECO_MINIMO_VENDA;PRECO_VENDA;NCM;COD_SITUACAO T._ICM;CSOSN;ALICOTA_ICMS;REDUCAO_ICMS;MVA
4271;4271;**CAIXA DESCARGA 6.8L CARAMELO TIGRE;UND;0.0;14.45;14.76;29.49;29.49;3922.90.00;60.0;500.0;0.0;0.0;0.0
4271;7,90E+12;**CAIXA DESCARGA 6.8L CARAMELO TIGRE;UND;0.0;14.45;14.76;29.49;29.49;3922.90.00;60.0;500.0;0.0;0.0;0.0
4272;4272;*A60 FILAMENTO LED BULBO AMBAR 4W 2000K G-LIGHT.;UND;0.0;10.34;15.12;29.89;29.89;8539.52.00;60.0;500.0;0.0;0.0;0.0
4272;7,90E+12;*A60 FILAMENTO LED BULBO AMBAR 4W 2000K G-LIGHT.;UND;0.0;10.34;15.12;29.89;29.89;8539.52.00;60.0;500.0;0.0;0.0;0.0
4273;4273;*ABAFADOR DE RUIDOS CONCHA ARV100 VONDER;UND;0.0;11.49;13.21;22.0;22.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
4273;7,89E+12;*ABAFADOR DE RUIDOS CONCHA ARV100 VONDER;UND;0.0;11.49;13.21;22.0;22.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
4274;4274;*ABAFADOR DE RUIDOS CONCHA VONDER ARV200;UND;0.0;32.14;36.96;62.0;62.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
4274;7,89E+12;*ABAFADOR DE RUIDOS CONCHA VONDER ARV200;UND;0.0;32.14;36.96;62.0;62.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
4275;4275;*ABAJUR BRASFORT LED BARCO AZUL 220V;UND;0.0;9.83;9.83;19.5;19.5;9405.42.00;60.0;500.0;0.0;0.0;0.0
4275;7,90E+12;*ABAJUR BRASFORT LED BARCO AZUL 220V;UND;0.0;9.83;9.83;19.5;19.5;9405.42.00;60.0;500.0;0.0;0.0;0.0
4276;4276;*ABAJUR BRASFORT LED BORBOLETA ROSA 220V;UND;0.0;9.83;9.83;19.5;19.5;9405.42.00;60.0;500.0;0.0;0.0;0.0
4276;7,90E+12;*ABAJUR BRASFORT LED BORBOLETA ROSA 220V;UND;0.0;9.83;9.83;19.5;19.5;9405.42.00;60.0;500.0;0.0;0.0;0.0
4277;4277;*ABAJUR BRASFORT LED LUA BRANCO 220V;UND;1.0;9.83;9.83;19.5;19.5;9405.42.00;60.0;500.0;0.0;0.0;0.0
4277;7,90E+12;*ABAJUR BRASFORT LED LUA BRANCO 220V;UND;1.0;9.83;9.83;19.5;19.5;9405.42.00;60.0;500.0;0.0;0.0;0.0
4278;4278;*ABRAC ENF GATO 100X2.5 BRANCA NOVE54;UND;0.0;0.03;0.03;0.15;0.15;3926.90.90;60.0;500.0;0.0;0.0;0.0
4278;7,89E+12;*ABRAC ENF GATO 100X2.5 BRANCA NOVE54;UND;0.0;0.03;0.03;0.15;0.15;3926.90.90;60.0;500.0;0.0;0.0;0.0
4279;4279;*ABRAC NYLON 2.5X100MM BRANCA ENERBRAS;UND;0.0;0.04;0.04;0.1;0.1;3926.90.90;60.0;500.0;0.0;0.0;0.0
4279;7,90E+12;*ABRAC NYLON 2.5X100MM BRANCA ENERBRAS;UND;0.0;0.04;0.04;0.1;0.1;3926.90.90;60.0;500.0;0.0;0.0;0.0
4280;4280;*ABRAC NYLON 3.5X200MM BRANCO ENERBRAS;UND;0.0;0.11;0.11;0.35;0.35;3926.90.90;60.0;500.0;0.0;0.0;0.0
4280;7,90E+12;*ABRAC NYLON 3.5X200MM BRANCO ENERBRAS;UND;0.0;0.11;0.11;0.35;0.35;3926.90.90;60.0;500.0;0.0;0.0;0.0
4281;4281;*ABRAC NYLON 3.5X300MM BRANCO ENERBRAS;UND;0.0;0.16;0.16;0.5;0.5;3926.90.90;60.0;500.0;0.0;0.0;0.0
4281;7,90E+12;*ABRAC NYLON 3.5X300MM BRANCO ENERBRAS;UND;30.0;0.16;0.16;0.5;0.5;3926.90.90;60.0;500.0;0.0;0.0;0.0
4282;4282;*ABRACADEIRA NYLON 3.5X300MM PRETO ENERBRAS;UND;0.0;0.2;0.2;0.4;1.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
4282;7,90E+12;*ABRACADEIRA NYLON 3.5X300MM PRETO ENERBRAS;UND;0.0;0.2;0.2;0.4;1.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
4283;4283;*ABRACADEIRA NYLON 4.5X200MM PRETO ENERBRAS;UND;95.0;0.18;0.19;0.5;0.5;3926.90.90;60.0;500.0;0.0;0.0;0.0
4283;7,90E+12;*ABRACADEIRA NYLON 4.5X200MM PRETO ENERBRAS;UND;95.0;0.18;0.19;0.5;0.5;3926.90.90;60.0;500.0;0.0;0.0;0.0
4284;4284;*ABRACADEIRA 38X51 1RSF INCA;UND;36.0;3.11;3.31;7.0;7.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
4284;7,89E+12;*ABRACADEIRA 38X51 1RSF INCA;UND;36.0;3.11;3.31;7.0;7.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
4284;4284;*ABRACADEIRA 38X51 1RSF INCA;UND;0.0;3.11;3.31;7.0;7.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
4284;7,89E+12;*ABRACADEIRA 38X51 1RSF INCA;UND;0.0;3.11;3.31;7.0;7.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
4285;419710;"ABRACADEIRA 35-40 1"" REFORÇADA METAL MATRIX";PC;8.0;6.8;6.8;10.0;12.0;7326.19.00;60.0;500.0;0.0;0.0;0.0
4285;4285;"ABRACADEIRA 35-40 1"" REFORÇADA METAL MATRIX";PC;8.0;6.8;6.8;10.0;12.0;7326.19.00;60.0;500.0;0.0;0.0;0.0
4286;416900;"ABRACADEIRA 25-38 1""-1.1/2 METAL MATRIX";UND;75.0;1.91;1.91;4.0;4.5;7326.19.00;60.0;500.0;0.0;0.0;0.0
4286;4286;"ABRACADEIRA 25-38 1""-1.1/2 METAL MATRIX";UND;75.0;1.91;1.91;4.0;4.5;7326.19.00;60.0;500.0;0.0;0.0;0.0
4287;4287;*ABRACADEIRA ACO LAMP FLUORESCENTE;PC;29.0;0.72;0.86;1.8;1.8;7326.19.00;60.0;500.0;18.0;0.0;0.0
4287;7,89E+12;*ABRACADEIRA ACO LAMP FLUORESCENTE;PC;29.0;0.72;0.86;1.8;1.8;7326.19.00;60.0;500.0;18.0;0.0;0.0
